listed_in_id,listed_in
1,Action
2,Action & Adventure
3,Action-Adventure
4,Adventure
5,Animals & Nature
6,Animation
7,Anime
8,Anime Features
9,Anime Series
10,Anthology
11,Arthouse
12,Arts
13,Biographical
14,British TV Shows
15,Buddy
16,Children & Family Movies
17,Classic & Cult TV
18,Classic Movies
19,Comedies
20,Comedy
21,Coming of Age
22,Concert Film
23,Crime
24,Crime TV Shows
25,Cult Movies
26,Dance
27,Documentaries
28,Documentary
29,Docuseries
30,Drama
31,Dramas
32,Faith and Spirituality
33,Family
34,Fantasy
35,Fitness
36,Game Show / Competition
37,Historical
38,Horror
39,Horror Movies
40,Independent Movies
41,International
42,International Movies
43,International TV Shows
44,Kids
45,Kids' TV
46,LGBTQ
47,LGBTQ Movies
48,Lifestyle
49,Military and War
50,Movies
51,Music
52,Music & Musicals
53,Music Videos and Concerts
54,Musical
55,Reality
56,Reality TV
57,Romance
58,Romantic Movies
59,Romantic TV Shows
60,Sci-Fi & Fantasy
61,Science Fiction
62,Series
63,Spanish-Language TV Shows
64,Special Interest
65,Sports
66,Sports Movies
67,Stand-Up Comedy
68,Stand-Up Comedy & Talk Shows
69,Suspense
70,TV Action & Adventure
71,TV Comedies
72,TV Dramas
73,TV Horror
74,TV Sci-Fi & Fantasy
75,TV Shows
76,Talk Show
77,Talk Show and Variety
78,Thrillers
79,Unscripted
80,Variety
81,Western
82,Young Adult Audience
