show_id,title,rating,duration,year_id,type_id,platform_id
1,Dick Johnson Is Dead,PG-13,90 min,2,1,1
2,Blood & Water,TV-MA,2 Seasons,1,2,1
3,Ganglands,TV-MA,1 Season,1,2,1
4,Jailbirds New Orleans,TV-MA,1 Season,1,2,1
5,Kota Factory,TV-MA,2 Seasons,1,2,1
6,Midnight Mass,TV-MA,1 Season,1,2,1
7,My Little Pony: A New Generation,PG,91 min,1,1,1
8,Sankofa,TV-MA,125 min,29,1,1
9,The Great British Baking Show,TV-14,9 Seasons,1,2,1
10,The Starling,PG-13,104 min,1,1,1
11,"Vendetta: Truth, Lies and The Mafia",TV-MA,1 Season,1,2,1
12,Bangkok Breaking,TV-MA,1 Season,1,2,1
13,Je Suis Karl,TV-MA,127 min,1,1,1
14,Confessions of an Invisible Girl,TV-PG,91 min,1,1,1
15,Crime Stories: India Detectives,TV-MA,1 Season,1,2,1
16,Dear White People,TV-MA,4 Seasons,1,2,1
17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,TV-MA,67 min,2,1,1
18,Falsa identidad,TV-MA,2 Seasons,2,2,1
19,Intrusion,TV-14,94 min,1,1,1
20,Jaguar,TV-MA,1 Season,1,2,1
21,Monsters Inside: The 24 Faces of Billy Milligan,TV-14,1 Season,1,2,1
22,Resurrection: Ertugrul,TV-14,5 Seasons,4,2,1
23,Avvai Shanmughi,TV-PG,161 min,26,1,1
24,Go! Go! Cory Carson: Chrissy Takes the Wheel,TV-Y,61 min,1,1,1
25,Jeans,TV-14,166 min,24,1,1
26,Love on the Spectrum,TV-14,2 Seasons,1,2,1
27,Minsara Kanavu,TV-PG,147 min,25,1,1
28,Grown Ups,PG-13,103 min,12,1,1
29,Dark Skies,PG-13,97 min,9,1,1
30,Paranoia,PG-13,106 min,9,1,1
31,Ankahi Kahaniya,TV-14,111 min,1,1,1
32,Chicago Party Aunt,TV-MA,1 Season,1,2,1
33,Sex Education,TV-MA,3 Seasons,2,2,1
34,Squid Game,TV-MA,1 Season,1,2,1
35,Tayo and Little Wizards,TV-Y7,1 Season,2,2,1
36,The Father Who Moves Mountains,TV-MA,110 min,1,1,1
37,The Stronghold,TV-MA,105 min,1,1,1
38,Angry Birds,TV-Y7,1 Season,4,2,1
39,Birth of the Dragon,PG-13,96 min,5,1,1
40,Chhota Bheem,TV-Y7,3 Seasons,1,2,1
41,He-Man and the Masters of the Universe,TV-Y7,1 Season,1,2,1
42,Jaws,PG,124 min,47,1,1
43,Jaws 2,PG,116 min,44,1,1
44,Jaws 3,PG,98 min,39,1,1
45,Jaws: The Revenge,PG-13,91 min,35,1,1
46,My Heroes Were Cowboys,PG,23 min,1,1,1
47,Safe House,R,115 min,10,1,1
48,The Smart Money Woman,TV-MA,1 Season,2,2,1
49,Training Day,R,122 min,21,1,1
50,Castle and Castle,TV-MA,2 Seasons,1,2,1
51,Dharmakshetra,TV-PG,1 Season,8,2,1
52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,TV-14,99 min,20,1,1
53,InuYasha the Movie 3: Swords of an Honorable Ruler,TV-14,99 min,19,1,1
54,InuYasha the Movie 4: Fire on the Mystic Island,TV-PG,88 min,18,1,1
55,InuYasha the Movie: Affections Touching Across Time,TV-PG,100 min,21,1,1
56,Nailed It,TV-PG,6 Seasons,1,2,1
57,Naruto Shippuden the Movie: Blood Prison,TV-14,102 min,11,1,1
58,Naruto Shippûden the Movie: Bonds,TV-PG,93 min,14,1,1
59,Naruto Shippûden the Movie: The Will of Fire,TV-PG,96 min,13,1,1
60,Naruto Shippuden: The Movie,TV-PG,95 min,15,1,1
61,Naruto Shippuden: The Movie: The Lost Tower,TV-14,85 min,12,1,1
62,Naruto the Movie 2: Legend of the Stone of Gelel,TV-PG,97 min,17,1,1
63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,TV-PG,95 min,16,1,1
64,Naruto the Movie: Ninja Clash in the Land of Snow,TV-PG,83 min,18,1,1
65,Nightbooks,TV-PG,103 min,1,1,1
66,Numberblocks,TV-Y,6 Seasons,1,2,1
67,Raja Rasoi Aur Anya Kahaniyan,TV-G,1 Season,8,2,1
68,Saved by the Bell,TV-PG,9 Seasons,28,2,1
69,Schumacher,TV-14,113 min,1,1,1
70,Stories by Rabindranath Tagore,TV-PG,1 Season,7,2,1
71,Too Hot To Handle: Latino,TV-MA,1 Season,1,2,1
72,A StoryBots Space Adventure,TV-Y,13 min,1,1,1
73,Jack Whitehall: Travels with My Father,TV-MA,5 Seasons,1,2,1
74,King of Boys,TV-MA,182 min,4,1,1
75,The World's Most Amazing Vacation Rentals,TV-PG,2 Seasons,1,2,1
76,You vs. Wild: Out Cold,TV-G,106 min,1,1,1
77,Yowamushi Pedal,TV-14,1 Season,9,2,1
78,Little Singham - Black Shadow,TV-Y7,48 min,1,1,1
79,Tughlaq Durbar,TV-14,145 min,2,1,1
80,Tughlaq Durbar (Telugu),TV-14,145 min,1,1,1
81,Firedrake the Silver Dragon,TV-Y7,93 min,1,1,1
82,Kate,R,106 min,1,1,1
83,Lucifer,TV-14,6 Seasons,1,2,1
84,Metal Shop Masters,TV-MA,1 Season,1,2,1
85,Omo Ghetto: the Saga,TV-MA,147 min,2,1,1
86,Pokémon Master Journeys: The Series,TV-Y7,1 Season,1,2,1
87,Prey,TV-MA,87 min,1,1,1
88,Titipo Titipo,TV-Y,2 Seasons,3,2,1
